Type,StartDate,EndDate,Value,Unit
Blood Glucose,2024-12-06T12:53:41Z,,94.0,mg/dL
Blood Glucose,2024-12-06T12:58:41Z,,95.0,mg/dL
Blood Glucose,2024-12-06T13:03:41Z,,92.0,mg/dL
Blood Glucose,2024-12-06T13:08:41Z,,90.0,mg/dL
Blood Glucose,2024-12-06T13:13:41Z,,83.0,mg/dL
Blood Glucose,2024-12-06T13:18:41Z,,84.0,mg/dL
Blood Glucose,2024-12-06T13:23:41Z,,82.0,mg/dL
Blood Glucose,2024-12-06T13:28:41Z,,83.0,mg/dL
Blood Glucose,2024-12-06T13:33:41Z,,89.0,mg/dL
Blood Glucose,2024-12-06T13:38:41Z,,89.0,mg/dL
Blood Glucose,2024-12-06T13:43:41Z,,88.0,mg/dL
Blood Glucose,2024-12-06T13:48:41Z,,90.0,mg/dL
Blood Glucose,2024-12-06T13:53:40Z,,93.0,mg/dL
Blood Glucose,2024-12-06T13:58:41Z,,106.0,mg/dL
Blood Glucose,2024-12-06T14:03:41Z,,115.0,mg/dL
Blood Glucose,2024-12-06T14:08:41Z,,121.0,mg/dL
Blood Glucose,2024-12-06T14:13:41Z,,121.0,mg/dL
Blood Glucose,2024-12-06T14:18:41Z,,122.0,mg/dL
Blood Glucose,2024-12-06T14:23:40Z,,124.0,mg/dL
Blood Glucose,2024-12-06T14:28:41Z,,125.0,mg/dL
Blood Glucose,2024-12-06T14:33:41Z,,122.0,mg/dL
Blood Glucose,2024-12-06T14:38:41Z,,119.0,mg/dL
Blood Glucose,2024-12-06T14:43:41Z,,111.0,mg/dL
Blood Glucose,2024-12-06T14:48:41Z,,107.0,mg/dL
Blood Glucose,2024-12-06T14:53:41Z,,108.0,mg/dL
Blood Glucose,2024-12-06T14:58:41Z,,113.0,mg/dL
Blood Glucose,2024-12-06T15:03:41Z,,112.0,mg/dL
Blood Glucose,2024-12-06T15:08:41Z,,110.0,mg/dL
Blood Glucose,2024-12-06T15:13:41Z,,114.0,mg/dL
Blood Glucose,2024-12-06T15:18:41Z,,113.0,mg/dL
Blood Glucose,2024-12-06T15:23:41Z,,113.0,mg/dL
Blood Glucose,2024-12-06T15:28:41Z,,112.0,mg/dL
Blood Glucose,2024-12-06T15:33:41Z,,113.0,mg/dL
Blood Glucose,2024-12-06T15:38:41Z,,114.0,mg/dL
Blood Glucose,2024-12-06T15:43:41Z,,110.0,mg/dL
Blood Glucose,2024-12-06T15:48:41Z,,108.0,mg/dL
Blood Glucose,2024-12-06T15:53:41Z,,104.0,mg/dL
Blood Glucose,2024-12-06T15:58:41Z,,96.0,mg/dL
Blood Glucose,2024-12-06T16:03:41Z,,96.0,mg/dL
Blood Glucose,2024-12-06T16:08:41Z,,96.0,mg/dL
Blood Glucose,2024-12-06T16:13:41Z,,98.0,mg/dL
Blood Glucose,2024-12-06T16:18:41Z,,95.0,mg/dL
Blood Glucose,2024-12-06T16:23:41Z,,89.0,mg/dL
Blood Glucose,2024-12-06T16:28:41Z,,90.0,mg/dL
Blood Glucose,2024-12-06T16:33:41Z,,91.0,mg/dL
Blood Glucose,2024-12-06T16:38:41Z,,95.0,mg/dL
Blood Glucose,2024-12-06T16:43:41Z,,98.0,mg/dL
Blood Glucose,2024-12-06T16:48:41Z,,99.0,mg/dL
Blood Glucose,2024-12-06T16:53:41Z,,98.0,mg/dL
Blood Glucose,2024-12-06T16:58:41Z,,98.0,mg/dL
Blood Glucose,2024-12-06T17:03:42Z,,98.0,mg/dL
Blood Glucose,2024-12-06T17:08:41Z,,94.0,mg/dL
Blood Glucose,2024-12-06T17:13:41Z,,91.0,mg/dL
Blood Glucose,2024-12-06T17:18:41Z,,95.0,mg/dL
Blood Glucose,2024-12-06T17:23:41Z,,97.0,mg/dL
Blood Glucose,2024-12-06T17:28:41Z,,94.0,mg/dL
Blood Glucose,2024-12-06T17:33:41Z,,94.0,mg/dL
Blood Glucose,2024-12-06T17:38:41Z,,92.0,mg/dL
Blood Glucose,2024-12-06T17:43:42Z,,88.0,mg/dL
Blood Glucose,2024-12-06T17:48:41Z,,79.0,mg/dL
Blood Glucose,2024-12-06T17:53:41Z,,74.0,mg/dL
Blood Glucose,2024-12-06T17:58:41Z,,70.0,mg/dL
Blood Glucose,2024-12-06T18:03:41Z,,75.0,mg/dL
Blood Glucose,2024-12-06T18:08:42Z,,78.0,mg/dL
Blood Glucose,2024-12-06T18:13:42Z,,79.0,mg/dL
